title,company,location,duration,stipend,apply_by,applicants,skills,perks,openings,url
Data Analytics,Resolute AI Software,['Work From Home'],3.0,8000.0,5,572.0,"['Data Analytics', 'Data Science', 'MS-Excel', 'Power BI']","['Certificate', 'Flexible work hours']",1,https://internshala.com/internship/detail/data-analytics-work-from-home-job-internship-at-resolute-ai-software1657102899
Data Science,SkillBit,['Work From Home'],1.0,5000.0,4,1000.0,"['Machine Learning', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week', 'Job offer']",3,https://internshala.com/internship/detail/data-science-work-from-home-job-internship-at-skillbit1657080526
E-Commerce Analysis,Nuvoretail,['Work From Home'],3.0,15000.0,4,591.0,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Mathematics', 'MS-Excel']",[],10,https://internshala.com/internship/detail/e-commerce-analysis-work-from-home-job-internship-at-nuvoretail1657010762
Software (Business Analyst),RaftLabs,['Work From Home'],6.0,7000.0,3,117.0,"['Client Relationship', 'English Proficiency (Spoken)', 'MS-Office', 'User Interface (UI) Development']","['Certificate', 'Letter of recommendation', '5 days a week']",2,https://internshala.com/internship/detail/software-business-analyst-work-from-home-job-internship-at-raftlabs1657003762
Data Science (Content Creation),Leaders And Dreamers Private Limited,['Work From Home'],3.0,6000.0,3,207.0,"['Computer Vision', 'Data Science', 'Machine Learning', 'Natural Language Processing (NLP)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",3,https://internshala.com/internship/detail/data-science-content-creation-work-from-home-job-internship-at-leaders-and-dreamers-private-limited1657001460
Data Science Web Scraping,Datanstats,['Work From Home'],3.0,1500.0,3,414.0,"['Python', 'SQL']","['Certificate', 'Letter of recommendation', '5 days a week', 'Job offer']",5,https://internshala.com/internship/detail/data-science-web-scraping-work-from-home-job-internship-at-datanstats1656930745
Engineering (Deep Learning & Computer Vision),AiBorne Tech,['Work From Home'],4.0,11000.0,2,310.0,"['Computer Vision', 'Deep Learning', 'Machine Learning']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']",2,https://internshala.com/internship/detail/engineering-deep-learning-computer-vision-work-from-home-job-internship-at-aiborne-tech1656927204
Validation (AI/ML/DL),Wobot Intelligence Private Limited,['Work From Home'],6.0,7000.0,2,315.0,"['Computer Vision', 'Deep Learning', 'Linux', 'Python']","['Certificate', '5 days a week', 'Job offer']",1,https://internshala.com/internship/detail/validation-ai-ml-dl-work-from-home-job-internship-at-wobot-intelligence-private-limited1656925028
Data Annotation,SAAZ Imaging System,['Work From Home'],6.0,10000.0,3,509.0,"['Image Processing', 'Machine Learning']","['Certificate', 'Flexible work hours']",6,https://internshala.com/internship/detail/data-annotation-work-from-home-job-internship-at-saaz-imaging-system1656922487
Machine Learning (Computer Vision),Alphabt,['Work From Home'],5.0,15000.0,2,645.0,"['Computer Vision', 'Machine Learning', 'Python']",[],2,https://internshala.com/internship/detail/machine-learning-computer-vision-work-from-home-job-internship-at-alphabt1656917933
